ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	TWAS.FDR	trait_full_name	GWAS_name	cell_type	gene	trait	method	p_value	significance	log10_p	direction	symbol	GWAS
ENSG00000187266_EPOR	19	11377207	11384342	0.761	rs116465452	3.76	rs76820043	0.00835	3.77	0.983	4331	4331	bslmm	0.096	0.0041	3.943011	8.05e-05	0.1029595	Disorders_of_the_autonomic_nervous_system	GCST90477521_SpinalCord_Nerves.h.FUSION.txt	Astrocyte	ENSG00000187266_EPOR	Disorders_of_the_autonomic_nervous_system	TWAS	8.05e-05	FALSE	4.09420411963213	Positive	EPOR	GCST90477521_SpinalCord_Nerves.h.FUSION
ENSG00000237499_WAKMAR2	6	137823673	137868233	0.519	rs73560269	-3.81	rs9495271	0.041056	4.04	-2.3809	4988	4988	bslmm	0.12	0.0013	-3.9395	8.17e-05	0.1044943	Cerebral_artery_occlusion_with_cerebral_infarction	GCST90477990_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000237499_WAKMAR2	Cerebral_artery_occlusion_with_cerebral_infarction	TWAS	8.17e-05	FALSE	4.08777794346758	Negative	WAKMAR2	GCST90477990_Brain_Cerebrovascular.h.FUSION
ENSG00000090661_CERS4	19	8206736	8262421	0.766	rs138124955	4.25	rs147771684	-0.00623	-3.43	1.1939	2637	2637	blup	0.0062	0.23	-3.9252	8.67e-05	0.0799375	Hereditary_and_idiopathic_peripheral_neuropathy	GCST90477606_SpinalCord_Nerves.h.FUSION.txt	Astrocyte	ENSG00000090661_CERS4	Hereditary_and_idiopathic_peripheral_neuropathy	TWAS	8.67e-05	FALSE	4.06198090252379	Negative	CERS4	GCST90477606_SpinalCord_Nerves.h.FUSION
ENSG00000090686_USP48	1	21678298	21783606	0.362	rs752555	3.82	rs58762579	-0.004409	-3.5	2.6568	4593	4593	blup	0.036	0.058	-3.9238	8.72e-05	0.1115288	Chronic_fatigue_syndrome	GCST90479177_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000090686_USP48	Chronic_fatigue_syndrome	TWAS	8.72e-05	FALSE	4.05948351506743	Negative	USP48	GCST90479177_OtherNeurological.h.FUSION
ENSG00000286619_ENSG00000286619	1	205813322	205896082	0.685	rs823152	3.48	rs708727	0.0489	5.73	3.01498	4323	26	enet	0.38	3.9e-09	3.919	8.89e-05	0.05685155	Depression	GCST90476683_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000286619_ENSG00000286619	Depression	TWAS	8.89e-05	FALSE	4.05109823902979	Positive	ENSG00000286619	GCST90476683_MoodDisorders.h.FUSION
ENSG00000103415_HMOX2	16	4474690	4510347	0.479	rs73504498	4.18	rs73513206	0.068062	-3.77	3.9065	5629	1	top1	0.068	0.014	-3.9065	9.36e-05	0.06094435	Depression	GCST90476921_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000103415_HMOX2	Depression	TWAS	9.36e-05	FALSE	4.02872415126189	Negative	HMOX2	GCST90476921_MoodDisorders.h.FUSION
ENSG00000164031_DNAJB14	4	99896248	99946618	0.294	rs80298236	-3.68	rs1139490	0.003356	3.16	-0.2269	5062	5062	bslmm	0.017	0.14	-3.9022	9.53e-05	0.06094435	Depression	GCST90476921_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000164031_DNAJB14	Depression	TWAS	9.53e-05	FALSE	4.02090709936167	Negative	DNAJB14	GCST90476921_MoodDisorders.h.FUSION
ENSG00000268030_ENSG00000268030	19	18557775	18561560	0.733	rs10405164	4.21	rs11666242	-0.0102	3.74	-0.9657	4561	4561	blup	0.1	0.0029	3.8984	9.68e-05	0.066508	Stroke_or_Transient_Ischemic_Attack	GCST90476667_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000268030_ENSG00000268030	Stroke_or_Transient_Ischemic_Attack	TWAS	9.68e-05	FALSE	4.01412464269161	Positive	ENSG00000268030	GCST90476667_Brain_Cerebrovascular.h.FUSION
ENSG00000115904_SOS1	2	38962206	39124345	0.334	rs4670938	-3.89	rs17024307	0.037136	-4.07	0.03987	5479	5479	blup	0.11	0.0024	-3.89087	9.99e-05	0.071624	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	GCST90479446_SleepDisorders.h.FUSION.txt	Astrocyte	ENSG00000115904_SOS1	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	TWAS	9.99e-05	FALSE	4.00043451177402	Negative	SOS1	GCST90479446_SleepDisorders.h.FUSION
ENSG00000257771_LINC02395	12	49900311	49932764	0.606	rs11611070	-3.41	rs61455481	0.0606	3.96	2.2961	3529	3529	bslmm	0.14	0.00068	3.8806	0.000104	0.066508	Stroke_or_Transient_Ischemic_Attack	GCST90476667_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000257771_LINC02395	Stroke_or_Transient_Ischemic_Attack	TWAS	0.000104	FALSE	3.98296666070122	Positive	LINC02395	GCST90476667_Brain_Cerebrovascular.h.FUSION
ENSG00000226994_ENSG00000226994	2	34799850	35185689	0.454	rs67016454	4.19	rs6716549	-0.012664	3.4	-0.22793	8240	8240	blup	0.065	0.016	3.8791	0.000105	0.134295	Stroke_or_Transient_Ischemic_Attack	GCST90476994_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000226994_ENSG00000226994	Stroke_or_Transient_Ischemic_Attack	TWAS	0.000105	FALSE	3.97881070093006	Positive	ENSG00000226994	GCST90476994_Brain_Cerebrovascular.h.FUSION
ENSG00000227070_EPS15-AS1	1	51518288	51561651	0.171	rs867100278	-3.91	rs111552573	-0.001772	-3.2	-3.8709	2783	1	top1	-0.0018	0.35	3.87093	0.000108	0.13932	Schizophrenia	SCZ_AFR_Schizophrenia_FUSION.txt	Astrocyte	ENSG00000227070_EPS15-AS1	Schizophrenia	TWAS	0.000108	FALSE	3.96657624451305	Positive	EPS15-AS1	SCZ_AFR_Schizophrenia_FUSION
ENSG00000154188_ANGPT1	8	107249482	107498055	0.576	rs281714	3.39	rs74879595	-0.011124	-3.7	2.9253	5571	5571	bslmm	0.12	0.0015	-3.863	0.000112	0.071624	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	GCST90479446_SleepDisorders.h.FUSION.txt	Astrocyte	ENSG00000154188_ANGPT1	Feeling_unsatisfied_or_not_rested_by_your_nights_sleep	TWAS	0.000112	FALSE	3.95078197732982	Negative	ANGPT1	GCST90479446_SleepDisorders.h.FUSION
ENSG00000178295_GEN1	2	17753858	17788946	0.422	rs11688807	4.08	rs1471343	-0.013756	-3.82	0.3093	4972	4972	bslmm	0.0098	0.19	-3.86097	0.000113	0.0865456666666667	Cerebrovascular_disease	GCST90477982_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000178295_GEN1	Cerebrovascular_disease	TWAS	0.000113	FALSE	3.94692155651658	Negative	GEN1	GCST90477982_Brain_Cerebrovascular.h.FUSION
ENSG00000290981_ENSG00000290981	22	20616230	20656914	0.582	rs114220049	-4.33	rs74556925	0.00245	4.04	-0.1964	3800	3800	blup	0.18	9.7e-05	3.83671	0.000125	0.0799375	Hereditary_and_idiopathic_peripheral_neuropathy	GCST90477606_SpinalCord_Nerves.h.FUSION.txt	Astrocyte	ENSG00000290981_ENSG00000290981	Hereditary_and_idiopathic_peripheral_neuropathy	TWAS	0.000125	FALSE	3.90308998699194	Positive	ENSG00000290981	GCST90477606_SpinalCord_Nerves.h.FUSION
ENSG00000121270_ABCC11	16	48165773	48247568	0.332	rs75994742	4.08	rs73551389	-0.013853	3.46	1.3664	3327	3327	blup	0.094	0.0045	3.83219	0.000127	0.0812165	Alzheimers_or_Other_Dementia	GCST90477006_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000121270_ABCC11	Alzheimers_or_Other_Dementia	TWAS	0.000127	FALSE	3.89619627904404	Positive	ABCC11	GCST90477006_Cognitive_Neurodegenerative.h.FUSION
ENSG00000145723_GIN1	5	103086000	103120138	0.517	rs34761036	-4.08	rs59918329	-0.01362	-3.99	2.51747	4620	4620	blup	0.093	0.0048	-3.828	0.000129	0.164991	Depression	GCST90479401_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000145723_GIN1	Depression	TWAS	0.000129	FALSE	3.88941028970075	Negative	GIN1	GCST90479401_MoodDisorders.h.FUSION
ENSG00000145901_TNIP1	5	151029945	151093577	0.685	rs12652122	4.96	rs10035812	-0.01355	-4.22	-1.2816	5694	5694	blup	0.055	0.025	3.7927	0.000149	0.139411	Abnormal_involuntary_movements	GCST90477576_Movement_Motor.h.FUSION.txt	Astrocyte	ENSG00000145901_TNIP1	Abnormal_involuntary_movements	TWAS	0.000149	FALSE	3.82681373158773	Positive	TNIP1	GCST90477576_Movement_Motor.h.FUSION
ENSG00000074590_NUAK1	12	106063345	106138954	0.588	rs2465356	3.84	rs2436597	0.0309	-3.66	-3.7738	4820	1	top1	0.031	0.072	3.7738	0.000161	0.205919	Waking_up_in_the_morning_earlier_than_planned_or_desired	GCST90479450_SleepDisorders.h.FUSION.txt	Astrocyte	ENSG00000074590_NUAK1	Waking_up_in_the_morning_earlier_than_planned_or_desired	TWAS	0.000161	FALSE	3.79317412396815	Positive	NUAK1	GCST90479450_SleepDisorders.h.FUSION
ENSG00000279762_ENSG00000279762	17	32423971	32446038	0.838	rs12943873	-3.99	rs8065087	0.077248	3.5	-3.773	4597	1	top1	0.077	0.0095	-3.773	0.000161	0.0865456666666667	Cerebrovascular_disease	GCST90477982_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000279762_ENSG00000279762	Cerebrovascular_disease	TWAS	0.000161	FALSE	3.79317412396815	Negative	ENSG00000279762	GCST90477982_Brain_Cerebrovascular.h.FUSION
ENSG00000260708_TBC1D22A-DT	22	46761893	46762564	0.482	rs150046382	4.76	rs9615213	-0.00079	-3.86	0.4663	6607	6607	blup	0.063	0.017	3.7707	0.000163	0.208477	Facial_nerve_disorders	GCST90477593_SpinalCord_Nerves.h.FUSION.txt	Astrocyte	ENSG00000260708_TBC1D22A-DT	Facial_nerve_disorders	TWAS	0.000163	FALSE	3.78781239559604	Positive	TBC1D22A-DT	GCST90477593_SpinalCord_Nerves.h.FUSION
ENSG00000130956_HABP4	9	96450169	96491336	0.886	rs73565822	3.84	rs72743934	-0.013889	-3.78	2.4449	4502	4502	bslmm	0.0043	0.25	-3.7671	0.000165	0.1055175	Dementia	GCST90476928_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000130956_HABP4	Dementia	TWAS	0.000165	FALSE	3.78251605578609	Negative	HABP4	GCST90476928_Cognitive_Neurodegenerative.h.FUSION
ENSG00000204991_SPIRE2	16	89818179	89871319	0.621	rs61138583	3.7	rs462769	-0.009115	-4.14	-1.1828	3446	3446	blup	0.14	0.00062	3.7553	0.000173	0.1106335	Concussion_or_loss_of_consciousness	GCST90476935_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000204991_SPIRE2	Concussion_or_loss_of_consciousness	TWAS	0.000173	FALSE	3.7619538968712	Positive	SPIRE2	GCST90476935_Brain_Cerebrovascular.h.FUSION
ENSG00000248092_NNT-AS1	5	43571594	43603230	0.433	rs7715976	3.95	rs34000875	0.02742	-4.22	-1.3855	3680	3680	bslmm	0.044	0.04	3.7468	0.000179	0.228941	Chronic_pain_syndrome	GCST90477603_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000248092_NNT-AS1	Chronic_pain_syndrome	TWAS	0.000179	FALSE	3.74714696902011	Positive	NNT-AS1	GCST90477603_OtherNeurological.h.FUSION
ENSG00000251148_ENSG00000251148	4	2295584	2319089	0.309	rs57457340	3.88	rs59909439	-0.001917	-3.8	-0.6172	5209	5209	blup	0.024	0.1	3.717	0.000202	0.0861193333333333	Depression	GCST90476921_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000251148_ENSG00000251148	Depression	TWAS	0.000202	FALSE	3.69464863055338	Positive	ENSG00000251148	GCST90476921_MoodDisorders.h.FUSION
ENSG00000056558_TRAF1	9	120902393	120929173	0.35	rs9775994	3.44	rs112678167	-0.013149	3.82	1.774	4068	4068	blup	0.094	0.0045	3.71574	0.000203	0.0865456666666667	Cerebrovascular_disease	GCST90477982_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000056558_TRAF1	Cerebrovascular_disease	TWAS	0.000203	FALSE	3.69250396208679	Positive	TRAF1	GCST90477982_Brain_Cerebrovascular.h.FUSION
ENSG00000154080_CHST9	18	26906481	27185308	0.555	rs647852	3.82	rs12969569	-0.001524	3.4	1.5964	4804	4804	bslmm	0.012	0.17	-3.697	0.000218	0.139411	Abnormal_involuntary_movements	GCST90477576_Movement_Motor.h.FUSION.txt	Astrocyte	ENSG00000154080_CHST9	Abnormal_involuntary_movements	TWAS	0.000218	FALSE	3.66154350639539	Negative	CHST9	GCST90477576_Movement_Motor.h.FUSION
ENSG00000170921_TANC2	17	62966235	63427703	0.471	rs9899780	3.94	rs9916386	-0.009965	-3.77	1.67874	4466	4466	blup	0.062	0.019	-3.6661	0.000246	0.315864	PTSD	pts_aam_freeze2_overall.results.txt	Astrocyte	ENSG00000170921_TANC2	PTSD	TWAS	0.000246	FALSE	3.60906489289662	Negative	TANC2	pts_aam_freeze2_overall.results
ENSG00000123159_GIPC1	19	14477760	14496149	0.852	rs114654248	3.38	rs116754949	-0.0118	-3.22	2.517	5055	9	enet	0.014	0.16	-3.64232	0.00027	0.17415	Schizophrenia	SCZ_AFR_Schizophrenia_FUSION.txt	Astrocyte	ENSG00000123159_GIPC1	Schizophrenia	TWAS	0.00027	FALSE	3.56863623584101	Negative	GIPC1	SCZ_AFR_Schizophrenia_FUSION
ENSG00000054267_ARID4B	1	235131634	235328219	0.504	rs58426304	3.67	rs567471866	0.06945	3.16	3.63862	5901	1	top1	0.069	0.013	3.6386	0.000274	0.08857075	Depression	GCST90476683_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000054267_ARID4B	Depression	TWAS	0.000274	FALSE	3.56224943717961	Positive	ARID4B	GCST90476683_MoodDisorders.h.FUSION
ENSG00000132522_GPS2	17	7311324	7315564	0.418	rs11870250	4.5	rs7214084	-0.012986	3.79	-2.34027	5145	5145	blup	0.0043	0.25	-3.63569	0.000277	0.08857075	Depression	GCST90476683_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000132522_GPS2	Depression	TWAS	0.000277	FALSE	3.55752023093555	Negative	GPS2	GCST90476683_MoodDisorders.h.FUSION
ENSG00000257904_ENSG00000257904	14	29940745	29980212	0.472	rs73243965	-2.97	rs10083532	0.03061	3.89	-2.239	3808	3808	bslmm	0.061	0.02	-3.6261	0.000288	0.130884333333333	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	GCST90479457_SubstanceUse.h.FUSION.txt	Astrocyte	ENSG00000257904_ENSG00000257904	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	TWAS	0.000288	FALSE	3.54060751224077	Negative	ENSG00000257904	GCST90479457_SubstanceUse.h.FUSION
ENSG00000115234_SNX17	2	27370496	27377535	0.346	rs1275522	-4.14	rs1260338	0.022954	3.88	-3.056	3597	20	enet	0.07	0.013	-3.60954	0.000307	0.130884333333333	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	GCST90479457_SubstanceUse.h.FUSION.txt	Astrocyte	ENSG00000115234_SNX17	In_your_lifetime_have_you_smoked_a_total_of_at_least_100_cigarettes	TWAS	0.000307	FALSE	3.51286162452281	Negative	SNX17	GCST90479457_SubstanceUse.h.FUSION
ENSG00000185189_NRBP2	8	143833583	143840973	0.318	rs72691607	3.68	rs6558407	0.009137	-3.95	1.6059	5306	5306	blup	0.051	0.029	-3.6027	0.000315	0.402885	Abnormality_of_gait	GCST90477580_Movement_Motor.h.FUSION.txt	Astrocyte	ENSG00000185189_NRBP2	Abnormality_of_gait	TWAS	0.000315	FALSE	3.5016894462104	Negative	NRBP2	GCST90477580_Movement_Motor.h.FUSION
ENSG00000166167_BTRC	10	101354033	101557321	0.421	rs79341506	3.87	rs11190957	-0.00574	-3.64	3.03354	3312	3312	blup	0.064	0.017	-3.60168	0.000316	0.400753333333333	Alzheimers_or_Other_Dementia	GCST90479405_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000166167_BTRC	Alzheimers_or_Other_Dementia	TWAS	0.000316	FALSE	3.5003129173816	Negative	BTRC	GCST90479405_Cognitive_Neurodegenerative.h.FUSION
ENSG00000250903_GMDS-DT	6	2245718	2525976	0.931	rs6920128	4.22	rs11964511	-0.011487	-3.97	-1.17025	1340	1340	bslmm	0.039	0.05	3.5987	0.00032	0.136426666666667	Alzheimers_or_Other_Dementia	GCST90477006_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000250903_GMDS-DT	Alzheimers_or_Other_Dementia	TWAS	0.00032	FALSE	3.49485002168009	Positive	GMDS-DT	GCST90477006_Cognitive_Neurodegenerative.h.FUSION
ENSG00000162704_ARPC5	1	183620846	183635783	0.32	rs1535135	3.53	rs7531736	-0.01026	-3.42	-2.5888	4626	4626	blup	0.024	0.097	3.5897	0.000331	0.271148	Vertiginous_syndromes_and_other_disorders_of_vestibular_system	GCST90477812_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000162704_ARPC5	Vertiginous_syndromes_and_other_disorders_of_vestibular_system	TWAS	0.000331	FALSE	3.48017200622428	Positive	ARPC5	GCST90477812_OtherNeurological.h.FUSION
ENSG00000106392_C1GALT1	7	7156934	7248616	0.552	rs138183311	3.64	rs61555327	0.012903	3.73	-1.1424	7111	7111	blup	0.014	0.16	-3.5846	0.000338	0.224251333333333	Benign_neoplasm_of_brain_cranial_nerves_meninges	GCST90477285_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000106392_C1GALT1	Benign_neoplasm_of_brain_cranial_nerves_meninges	TWAS	0.000338	FALSE	3.47108329972235	Negative	C1GALT1	GCST90477285_Brain_Cerebrovascular.h.FUSION
ENSG00000273295_ENSG00000273295	22	23901432	23907068	0.796	rs147389557	3.52	rs5751776	0.63053	6.81	3.3142	5510	5510	bslmm	0.65	2.5e-18	3.568272	0.000359	0.334836	Alzheimers_or_Other_Dementia	GCST90475495_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000273295_ENSG00000273295	Alzheimers_or_Other_Dementia	TWAS	0.000359	FALSE	3.44490555142168	Positive	ENSG00000273295	GCST90475495_Cognitive_Neurodegenerative.h.FUSION
ENSG00000185189_NRBP2	8	143833583	143840973	0.318	rs61726291	-3.74	rs6558407	0.009137	-3.95	1.7127	5306	5306	blup	0.051	0.029	-3.54096	0.000399	0.16850825	Abnormal_movement	GCST90477574_Movement_Motor.h.FUSION.txt	Astrocyte	ENSG00000185189_NRBP2	Abnormal_movement	TWAS	0.000399	FALSE	3.39902710431325	Negative	NRBP2	GCST90477574_Movement_Motor.h.FUSION
ENSG00000237765_FAM200B	4	15681662	15690447	0.391	rs10031277	-3.87	rs6853114	0.049923	-4.08	-2.173	4812	4812	bslmm	0.054	0.026	3.51641	0.000437	0.510800625	Alzheimers_or_Other_Dementia	GCST90476883_Cognitive_Neurodegenerative.h.FUSION.txt	Astrocyte	ENSG00000237765_FAM200B	Alzheimers_or_Other_Dementia	TWAS	0.000437	FALSE	3.35951856302958	Positive	FAM200B	GCST90476883_Cognitive_Neurodegenerative.h.FUSION
ENSG00000087460_GNAS	20	58839718	58911192	0.632	rs59018846	3.61	rs75844627	-0.002345	3.67	-1.7564	4804	58	enet	0.097	0.004	-3.516	0.000438	0.224251333333333	Benign_neoplasm_of_brain_cranial_nerves_meninges	GCST90477285_Brain_Cerebrovascular.h.FUSION.txt	Astrocyte	ENSG00000087460_GNAS	Benign_neoplasm_of_brain_cranial_nerves_meninges	TWAS	0.000438	FALSE	3.3585258894959	Negative	GNAS	GCST90477285_Brain_Cerebrovascular.h.FUSION
ENSG00000130948_HSD17B3	9	96235306	96302176	0.441	rs114843454	3.57	rs142201696	-0.005782	3.53	0.2909	4408	4408	bslmm	0.085	0.0068	3.5154	0.000439	0.271148	Vertiginous_syndromes_and_other_disorders_of_vestibular_system	GCST90477812_OtherNeurological.h.FUSION.txt	Astrocyte	ENSG00000130948_HSD17B3	Vertiginous_syndromes_and_other_disorders_of_vestibular_system	TWAS	0.000439	FALSE	3.35753547975788	Positive	HSD17B3	GCST90477812_OtherNeurological.h.FUSION
ENSG00000286619_ENSG00000286619	1	205813322	205896082	0.685	rs2282452	3.92	rs708727	0.0489	5.73	2.6049	4323	26	enet	0.38	3.9e-09	3.51301	0.000443	0.566597	Depression	GCST90477003_MoodDisorders.h.FUSION.txt	Astrocyte	ENSG00000286619_ENSG00000286619	Depression	TWAS	0.000443	FALSE	3.35359627377693	Positive	ENSG00000286619	GCST90477003_MoodDisorders.h.FUSION
